Name,Meal Type,Serving,Prep Time,Cook Time,Ingredients,Intructions,Energi_kj,Lemak_g,Protein_g,Karbohidrat_g,Kalori_kkal,Lemak Jenuh_g,Lemak Trans_g,Lemak tak Jenuh Ganda_g,Lemak tak Jenuh Tunggal_g,Kolesterol_mg,Serat_g,Gula_g,Sodium_mg,Kalium_mg
Omlete Tahu Telur,"['Makan Pagi', 'Hidangan Utama']",1 porsi,5 menit,10 menit,"['1 besar telur', '1 sdt garam', '100 gram tahu', '1 sendok makan minyak goreng sawit']","['Hancurkan tahu dalam mangkuk.', 'Kocok telur, campur dengan tahu dan bumbui dengan garam.', 'Masukkan minyak ke dalam wajan.', 'Goreng hingga matang.']",971 kj,"18,92g","14,26g","2,48g",232 kkal,"6,129g",0g,"3,201g","8,397g",212mg,"0,3g","0,81g",2405mg,185mg
Tumis Buncis Tempe,"['Hidangan Utama', 'Lauk Pauk']",5 porsi,10 menit,20 menit,"['5 gram kaldu jamur', '225 gram buncis', '18 gram bawang putih', '200 ml air', '223 gram tempe', '39 gram bawang bombay', '10 g saus tiram']","['Potong-potong buncis dan tempe. Cincang bawang putih dan bawang bombay.', 'Didihkan air, tambahkan bawang bombay, bawang putih, saus tiram dan kaldu jamur.', 'Masukkan tempe dan buncis. Masak sampai buncis empuk.', 'Siap disajikan.']",466 kj,"4,89g","9,5g","9,9g",111 kkal,"1,007g",0g,"1,747g","1,342g",0mg,"1,7g","1,43g",113mg,303mg
Muesli Simple,"['Makan Pagi', 'Makanan Ringan']",1 porsi,10 menit,0 menit,"['100 ml susu (susu murni)', '2 gram chia seed', '50 g muesli dried fruit']","['Masukan susu dan muesli kedalam mangkok.', 'Lalu masukan ke kulkas diamkan semalaman.', 'Siap disantap pada pagi hari lalu taburi chia seed diatasnya.', 'Bisa ditambahkan dengan buah buahan (opsional).']",1067 kj,"7,3g","6,96g","42,21g",255 kkal,"3,657g",0,"1,498g","1,709g",10mg,"5,8g","13,76g",58mg,150mg
Jus Bokcoy,"['Makanan Penutup', 'Minuman', 'Makan Pagi']",2 porsi,5 menit,0 menit,"['1/2 fresh lime juice', '3 sdt sugar', '3 slices pineapple (extra sweet)', '3 daun chinese cabbage (bok-choy, pak-choi)', '700 ml water']","['Cuci buah dan sayur.', 'Rendam bokcoy dalam air panas, sebentar saja.', 'Blender semua bahan.']",393 kj,"0,18g","1,02g","24,57g",94 kkal,"0,006g",0,"0,022g","0,004g",0mg,2g,"19,71g",22mg,200mg
Jus,"['Makanan Penutup', 'Minuman', 'Makan Pagi']",2 porsi,8 menit,0 menit,"['1/4 iris lime', '6 sedang strawberries', '1 medium carrots', '1 kecil utuh tomatoes', '1.2 l air', '1 sachet sweetener classic']","['Cuci dan potong buah dan sayur.', 'Masukkan ke blender, campurkan dengan air dan pemanis, tambahkan air jeruk nipis.', 'Blender hingga halus.']",146 kj,"0,28g","0,93g","8,58g",35 kkal,"0,038g",0g,"0,154g","0,043g",0mg,"2,2g","4,28g",36mg,262mg
Sandwich,['Roti & Produk Panggang'],1 porsi,5 menit,5 menit,"['1 daun sedang selada', '100 gram telur ceplok', '2 lembar roti tawar gandum', '1 sachet saus sambal', '1 slice keju slice']","['Siap kan bahan.', 'Panggang roti di pan tanpa minyak hingga mencoklat rata.', 'Ceplok telur, tambahkan garam sejumput, kocok telur dan goreng.', 'Susun roti dengan bahan bahan yang sudah disiapkan.']",1954 kj,"23,82g","20,7g","38,12g",467 kkal,"6,295g",0,"2,666g","6,346g",457mg,"6,1g","4,97g",755mg,158mg
Tumis Tempe Labu Kacang Panjang,"['Hidangan Utama', 'Lauk Pauk']",10 porsi,15 menit,20 menit,"['216 gram kacang panjang hijau', '5 gram kaldu jamur', '2 gram garam', '350 gram labu siam', '21 gram bawang putih', '200 ml air', '366 gram tempe', '1 g lada putih bubuk', '33 gram bawang bombay', '11 g saus tiram']","['Potong potong tempe, labu, kacang panjang, dan bawang bombay sesuai selera. Cincang bawang putih. Sisihkan.', 'Didihkan air. Tambahkan bawang bombay, bawang putih, saus tiram, kaldu jamur, garam, dan lada.', 'Masukkan tempe. Aduk rata. Diamkan sebentar sampai bumbu meresap ke tempe.', 'Masukkan kacang panjang dan labu siam. Aduk rata, diamkan sebentar sampai sayuran matang.', 'Siap disajikan.']",374 kj,"4,04g","7,69g","7,73g",90 kkal,"0,831g",0g,"1,44g","1,104g",0mg,"1,4g","1,35g",140mg,253mg
Tumis Kacang Panjang dan Tauge,"['Hidangan Utama', 'Makan Siang', 'Lauk Pauk']",2 porsi,5 menit,15 menit,"['50 gram kecambah', '100 gram kacang panjang hijau', '1/4 sdm cabai merah atau rawit', '1 sdm minyak sayur canola', '1 siung bawang putih', '1/2 gelas air', '10 gram bawang merah']","['Potong semua sayuran yang dibutuhkan.', 'Tumis cabai, bawang merah, bawang putih dengan minyak canola.', 'Masukkan tauge dan kacang pang, beri air sedikit dan diamkan hingga sedikit layu.']",379 kj,"7,31g","2,03g","6,11g",90 kkal,"0,55g",0,"2,229g","4,155g",0mg,"2,6g","1,46g",6mg,158mg
Beef Patty,"['Hidangan Utama', 'Makan Siang']",8 porsi,15 menit,30 menit,"['500 gram daging sapi', '2 sedang telur', '1 sdt bawang putih bubuk', '1 sdt garam', '74 g roti tawar', '6 g lada putih bubuk', '100 gram bawang bombay']","['Haluskan daging bersama roti tawar.', 'Dalam mangkuk besar, campurkan daging giling dengan bumbu-bumbu dan bawang bombay yang sudah dicincang halus.', 'Masukkan telur dan aduk rata.', 'Bagi adonan menjadi 8 bagian, bentuk bulat pipih.', 'Grill di pan anti lengket.']",961 kj,"13,69g","18,88g","6,67g",230 kkal,"5,364g",0,"0,601g","5,642g",101mg,"0,2g","0,93g",582mg,233mg
Banana Oat Cookies,['Roti & Produk Panggang'],4 porsi,10 menit,30 menit,"['3 kurma', '10 gram kismis', '125 gram pisang', '60 g havermout oatmeal instan', '6 g choco chips']","['Lumatkan pisang sampai halus dengan garpu.', 'Tambahkan oat dan bahan lainnya, campur sampai menyatu.', 'Ambil sesendok campuran dan letakkan di airfryer / loyang, tekan ratakan dengan garpu.', 'Panggang kue dengan suhu 160°C selama 30 menit.', 'Angkat dan dinginkan. Siap disajikan.']",503 kj,"2,06g","2,57g","25,29g",120 kkal,"0,288g",0g,"0,525g","0,764g",0mg,"3,6g","9,91g",0mg,172mg
Sawi Tumis,"['Lauk Pauk', 'Makan Siang']",1 porsi,5 menit,10 menit,"['12 gram bawang putih', '5 g kaldu jamur', '189 gram sawi hijau']","['Potong sawi dan bawang.', 'Tumis bawang tanpa minyak, tbahkan sedikit air.', 'Tambahkan kaldu jamur dan tunggu sampai matang.']",222 kj,"0,69g","3,75g","9,09g",53 kkal,"0,06g",0,"0,211g","0,029g",0mg,"2,2g","2,35g",200mg,524mg
Healthy Banana Oat Muffin,"['Makanan Ringan', 'Makan Pagi', 'Roti & Produk Panggang']",6 porsi,15 menit,25 menit,"['57 gram telur', '1 gram garam', '2 gram baking soda', '75 gram oat', '157 g banana', '15 g cocoa powder', '18 g coconut sugar', '2 g kopi bubuk', '2 g baking powder', '2100 g squeeze yoghurt']","['Blender oats sampai jadi halus atau merupai tepung. Bisa pakai tepung lain.', 'Campur tepung oats, cocoa powder, baking soda, baking powder, kopi instan, gula dan garam.', 'Haluskan pisang lalu campurkan dengan telur dan yogurt.', 'Campur adonan basah dengan adonan kering.', 'Masukan adonan muffin ke cup/loyang yang sudah anda sediakan.', 'Tambahkan topping pilihan anda sesuai selera.', 'Panggang di oven 180°C sekitar 20 - 25 menit.', 'Angkat dan dinginkan.']",1922 kj,"12,23g","14,1g","78,65g",459 kkal,"0,678g",0g,"0,446g","0,634g",40mg,"3,1g","41,11g",470mg,662mg
Tumis Labu Siam,"['Sup', 'Lainnya', 'Makan Siang', 'Hidangan Utama', 'Makanan Pembuka']",5 porsi,10 menit,20 menit,"['5 gram cabai merah atau rawit', '329 gram labu siam', '5 gram bawang putih', '5 gram daun bawang', '500 ml air', '27 gram bawang merah', '27 ml minyak goreng']","['Tumis bawang merah, bawang putih, cabe rawit dan daun bawang dengan minyak goreng.', 'Masukkan labu siam yang sudah dipotong-potong.', 'Masukkan air.', 'Tambahkan bumbu yang disukai (garam dan merica) secukupnya.']",254 kj,"5,07g","0,79g","4,15g",61 kkal,"2,154g",0g,"0,129g","0,036g",0mg,"1,5g","1,6g",4mg,116mg
Tahu Telur,"['Hidangan Utama', 'Makan Pagi', 'Makan Siang', 'Lauk Pauk']",1 porsi,5 menit,10 menit,"['1 besar telur', '1 siung bawang putih dimasak', '1 sdt garam', '10 gram bayam', '2 gram bawang merah', '100 gram tahu', '2 ml minyak goreng']","['Hancurkan tahu.', 'Iris kecil-kecil bayam.', 'Campur tahu, bayam dengan telur.', 'Haluskan bawang merah dan bawang putih beserta garam.', 'Tumis bumbu halus.', 'Masukkan adonan tahu dan masak hingga matang.']",849 kj,"14,97g","14,7g","3,7g",203 kkal,"4,138g",0g,"2,223g","4,398g",212mg,"0,5g","0,96g",2413mg,252mg
Chia Seed Yakult,"['Makan Pagi', 'Makanan Penutup', 'Makanan Ringan']",1 porsi,15 menit,0 menit,"['10 gram chia seed', '2 botol yakult', '10 gram buah naga']","['Campurkan chia seed dengan Yakult.', 'Diamkan selama 5-10 menit di lemari es.', 'Tambahkan potongan buah naga.']",644 kj,"3,12g","3,64g","27,62g",154 kkal,"0,323g",0g,"2,351g","0,219g",0mg,4g,"20,96g",22mg,35mg
Dimsum Ayam Udang,"['Makanan Pembuka', 'Hidangan Utama', 'Makan Siang', 'Lauk Pauk']",27 porsi,15 menit,20 menit,"['200 gram paha ayam', '100 gram udang', '68 gram telur', '19 gram kaldu jamur', '4 gram minyak wijen', '78 gram wortel', '14 gram bawang putih', '92 gram kulit pangsit', '15 gram gula pasir', '5 gram garam laut', '144 g tepung tapioka', '1 g lada putih bubuk', '6 ml kecap asin']","['Cuci bersih udang, potong kecil-kecil, sisihkan.', 'Masukkan semua bahan ke food proccesor kecuali udang dan kulit pangsit.', 'Blender sampai halus.', 'Setelah adonan halus tambahkan udang potong kemudian diaduk.', 'Masukan ke dalam kulit lumpia, kukus 20 menit.']",208 kj,"1,89g","3,7g","4,26g",50 kkal,"0,497g","0,005g","0,406g","0,626g",25mg,"0,2g","1,51g",171mg,40mg
Brownies Mocaf,"['Roti & Produk Panggang', 'Makanan Penutup']",10 porsi,10 menit,25 menit,"['2 besar telur', '100 gram coklat manis atau gelap', '50 gram mentega', '15 gram kacang almond', '100 gram gula merah', '13 g coklat bubuk', '30 ml extra virgin olive oil', '100 g tepung mocaf']","['Lelehkan coklat manis gelap dengan minyak zaitun dan mentega.', 'Kocok telur dan gula merah semut dengan whisk.', 'Masukkan lelehan coklat tadi,aduk rata.', 'Masukan tepung mocaf aduk rata.', 'Masukan lagi coklat bubuk, aduk rata kembali.', 'Panaskan oven 180°C selama 10 menit.Masukan adonan kedalam loyang panggang dan tambahkan almond sebagai topping selama 20-25m.', 'Brownis siap dihidangkan.']",890 kj,"12,1g","2,37g","25,52g",213 kkal,"5,502g",0g,"0,571g","5,136g",53mg,"1,3g","14,96g",33mg,108mg
Oat Cookies,"['Makanan Ringan', 'Makanan Penutup', 'Makan Pagi']",17 porsi,15 menit,15 menit,"['4 kurma', '20 gram keju cheddar', '1 sdt ekstrak vanila', '2 kecil pisang', '62 g oatmeal']","['Kupas buah pisang masukan dalam mangkok hancurkan hingga halus.', 'Potong kurma dan parut keju masukan dalam mangkuk hancuran pisang tadi tambahkan vanilla paste. Tambahkan oatmeal.', 'Campur adonan hingga merata cetak adonan pada loyang lalu panggang adoan di oven suhu 180°C selama kurleb 15 menitan.']",101 kj,"0,51g","0,54g","4,66g",24 kkal,"0,262g",0,"0,02g","0,115g",1mg,"0,5g","2,73g",7mg,57mg
Bakso Ayam Oat,"['Lauk Pauk', 'Hidangan Utama', 'Makanan Pembuka']",4 porsi,15 menit,15 menit,"['200 gram dada ayam (kulit tidak dimakan)', '1 besar telur', '1/2 sdm minyak kelapa', '1 sdt garam', '3 siung bawang putih', '5 gram daun bawang', '1 kecil bawang merah', '52.5 g instant oatmeal', '10 g tepung pati jagung', '10 g kaldu jamur', '3 g lada putih bubuk', '1 sdm saos tiram']","['Goreng bawang merah dg minyak kelapa hingga kering.', 'Campur semua bahan dalam blender kecuali daun bawang. Tambahkan daun bawang dan bawang goreng.', 'Rebus air hingga mendidih,kecilkan kompor. Masukkan bakso bentuk sesuai selera.', 'Didihkan kembali rebus selama 10 menit, hingga bakso mengambang.', 'Sajikan bisa di sup/dibakar.']",823 kj,"6,18g","19,25g","15,26g",197 kkal,"2,553g",0g,"0,976g","1,756g",95mg,"1,4g","1,17g",908mg,183mg
Dada Ayam Suwir,"['Makan Siang', 'Hidangan Utama']",1 porsi,10 menit,15 menit,"['55 gram dada ayam', '1 sdm cabai merah atau rawit', '1 siung bawang putih', '1 sdt gula pasir', '2 kecil bawang merah', '2 g royco ayam', '10 ml minyak goreng']","['Rebus dada ayam, setelah matang suwir sesuai selera.', 'Tumis cabe rawit, bawang merah, bawant putih yg sudah di haluskan sampai wangi dengan minyak.', 'Masukkan dada ayam yg sudah di suwir lalu aduk rata.', 'Tambahkan kaldu ayam dan gula.', 'Siap di hidangkan.']",1184 kj,"14,3g","18,37g","22,34g",283 kkal,"5,406g",0g,"2,443g","5,831g",46mg,"3,5g","10,77g",783mg,455mg
Tumis Jamur Daging Brokoli,"['Hidangan Utama', 'Makan Siang']",3 porsi,10 menit,15 menit,"['100 gram mushrooms', '1/2 sdt sugar', '1/2 sdt salt', '60 gram broccoli', '20 gram onions', '70 gram beef thin-sliced (cured)', '3 ml minyak goreng', '10 g chili', '50 g saus lada hitam']","['Iris tipis jamur dan potong potong brokoli.', 'Iris tipis bawang bombai dan cabe.', 'Tumis bawang bombai dengan minyak goreng.', 'Tambahkan daging, jamur, dan brokoli untuk dimasak lalu cabai.', 'Tuangkan saus dan garam untuk membumbui.', 'Masak hingga matang. Sajikan.']",332 kj,"2,11g","8,39g","7,38g",79 kkal,"0,813g","0,01g","0,453g","0,559g",10mg,"1,7g","2,95g",881mg,287mg
Kimchi Jiggae,"['Sup', 'Makanan Pembuka', 'Lauk Pauk', 'Hidangan Utama']",1 porsi,5 menit,10 menit,"['50 gram dada ayam rebus (kulit tidak dimakan)', '1 besar putih telur', '1 sdm bubuk cabai', '1 siung bawang putih', '15 gram daun bawang', '50 gram kimchi', '50 gram tahu', '50 gram bawang bombay', '50 gram jamur kancing']","['Oseng bawang putih dan bawang bombay tanpa minyak sampai layu.', 'Masukin air kurleb 300ml.', 'Masukin ayam dan tahu setelah ayam matang masukan kimchi dan jamur...', 'Setelah semua layu masukan putih telur, bubuk cabai dan daun bawang aduk aduk. Taburi dengan nori dan biji wijen (opsional).']",879 kj,"5,72g","26,12g","17,03g",210 kkal,"1,002g",0,"1,862g","2,06g",38mg,5g,"5,36g",657mg,746mg
Bakso Kentang Fettuccine,"['Makan Siang', 'Hidangan Utama']",1 porsi,10 menit,20 menit,"['10 gram cabai merah atau rawit', '1 siung bawang putih', '50 gram kentang (daging, dengan garam, direbus)', '1 kecil bawang merah', '2 kecil bakso daging sapi', '30 g fettuccine', '45 g bolognese sauce']","['Rebus kentang dan fettuccine selama 5-10 menit.', 'Tumis bakso, bawang putih, bawang merah, cabai yg sudah di potong.', 'Masukan bolognese sauce dan tumis hingga harum bersama bakso.']",1435 kj,"7,65g","11,64g","60,41g",343 kkal,"2,654g","0,2g","1,072g","1,862g",23mg,"8,9g","15,42g",1054mg,564mg
Healthy Oatmeal Bar,"['Makanan Ringan', 'Makan Pagi']",12 porsi,8 menit,20 menit,"['1 sdt ekstrak vanila', '135 g instant oatmeal', '60 g creamy peanut butter', '150 g banana', '20 g choco chips']","['Hancurkan pisang dengan garpu sampai lembut.', 'Tuang bahan lain kecuali chocochips, aduk sampai rata.', 'Masukkan choco chips, aduk lagi sampai rata.', 'Tuang ke loyang yg sudah di alas baking paper. Panggang api bawah 180° kurang lebih 15-20 menit.']",393 kj,"3,51g","2,84g","13,67g",94 kkal,"0,718g",0g,"0,322g","0,482g",0mg,2g,"2,82g",17mg,46mg
Oseng Cabe Tahu Tempe,"['Makan Siang', 'Hidangan Utama', 'Lauk Pauk']",5 porsi,10 menit,15 menit,"['200 gram cabai merah atau rawit', '10 buah tahu goreng', '8 kecil bawang merah', '1 sdm minyak goreng', '10 buah tempe goreng']","['Goreng tahu dan tempe dengan minyak, sampai setengah matang, kemudian angkat tiriskan.', 'Tumis bawang merah dengan sisa minyak goreng tadi, masak sampai setengah makan.', 'Masukkan irisan cabe, masak sampai setengah matang,.', 'Masukkan gorengan tempe dan tahu, tambahakan garam secukupnya. Siap disajikan.']",1382 kj,"18,81g","14,3g","40,29g",330 kkal,"3,522g",0,"8,661g","4,466g",0mg,"13,5g","9,69g",103mg,1099mg
Smoothie Buah Naga,"['Makanan Penutup', 'Makanan Ringan', 'Makan Pagi']",1 porsi,15 menit,0 menit,"['20 gram nanas', '4 gram kacang almond panggang kering (tanpa tambahan garam)', '30 gram buah naga', '30 g pisang single', '15 g oatmeal', '50 ml almond breeze almond milk original', '8 g chia seed']","['Bekukan semua buah buahan.', 'Blender dengan susu dan oatmeal.', 'Taburi dengan topping yang disukai seperti chia, almond, dll. dan sajikan.']",577 kj,"5,5g","3,43g","20,28g",138 kkal,"0,179g",0g,"0,564g","1,639g",0mg,"5,1g","6,94g",33mg,153mg
Teriyaki Beef,"['Lauk Pauk', 'Hidangan Utama', 'Makan Siang']",2 porsi,20 menit,35 menit,"['1/2 sdt bawang putih bubuk', '1/2 sdt garam', '1 sdt jahe', '250 gram daging sapi top sirloin (diiris hingga 0.3 cm lemak)', '1/2 sdt gula pasir', '1 sdm kecap manis', '15 g soy sauce', '3 g lada putih bubuk', '15 g saus bumbu rasa tiram', '50 gram bawang bombay', '1 sdm minyak wijen']","['Marinasi Daging dengan kecap asin, kecap manis, minyak wijen, saos tiram, garam, gula, bawang putih, lada putih, jahe. Kurang lebih 15 - 30 menit.', 'Masak Daging tanpa minyak. Sampai matang. Setelah itu beri air sedikit, kemudian jika masukkan bawang Bombay. Masak hingga layu.', 'Hidangkan.']",1531 kj,"20,94g","26,71g","15,14g",366 kkal,"6,623g",0g,"0,548g","5,963g",51mg,"0,4g","11,26g",1603mg,447mg
Tumis Sayur dengan Telur,"['Lauk Pauk', 'Makan Siang', 'Makanan Pembuka']",1 porsi,5 menit,15 menit,"['1 besar telur', '100 gram kecambah', '1/2 sdt garam', '100 gram kubis', '1 mentimun (dengan kulit)', '1 siung bawang putih', '1 sdm kecap manis', '15 ml minyak goreng', '1 sdm saos tiram']","['Cuci bersih toge, kol, timun. Potong sesuai selera. Kupas dan cincang 1 siung bawang putih.', 'Panaskan 1 sdm minyak, masukan telur kemudian diorak arik, masukin bawang putih, tumis sebentar, masukan sayuran.', 'Beri sedikit air, masukan garam, saus tiram dan kecap manis. Masak sampai matang. Sajikan.']",1586 kj,"20,92g","13,47g","38,57g",379 kkal,"15,58g",0g,"1,171g","1,965g",212mg,"6,1g","24,86g",1954mg,885mg
Pancake Pisang,['Makan Pagi'],7 porsi,5 menit,20 menit,"['140 gram pisang', '1/2 sdt gula pasir', '50 gram tepung terigu putih (semua keperluan)', '80 ml susu skim']","['Haluskan pisang, lalu campur dengan terigu. Aduk rata.', 'Tambahkan gula dan susu secara bertahap sambil diaduk hingga rata.', 'Panaskan wajan antilengket, tuang satu sendok sayur adonan.', 'Apabila sudah muncul gelembung, balik adonan pancake. Tunggu hingga kedua sisi matang.', 'Sajikan hangat, boleh ditambah madu atau topping sesuai selera.']",212 kj,"0,33g","1,35g","10,89g",51 kkal,"0,153g",0,"0,053g","0,065g",1mg,"0,7g","3,38g",5mg,97mg
Aglio Olio,['Hidangan Utama'],2 porsi,15 menit,30 menit,"['1/2 kecil chicken breast (skin not eaten)', '1 medium carrot', '1 mangkok green string beans', '1 sdt, tumbuk oregano', '1 chicken sausage', '2 sdt minced garlic', '11 ml minyak goreng', '60 g spaghetti', '3 g lada putih bubuk', '1 sdm saos tiram', '2,5 g boncabe', '1,5 g garam']","['Rebus spageti sampai al dente.', 'Tumis bawang putih, masukan dada ayam, sosis, sayuran, lalu saus tiram dan bumbu.', 'Masukan spageti yg sudah direbus, lada garam, oregano, dan boncabe.', 'Siap disajikan.']",1220 kj,"8,5g","19,2g","33,46g",292 kkal,"2,792g","0,04g","2,788g","1,485g",42mg,"4,2g","2,73g",630mg,557mg
Sawi Tumis Tauge,"['Makan Siang', 'Hidangan Utama', 'Lauk Pauk']",2 porsi,5 menit,10 menit,"['200 gram kecambah', '3 sejumput garam', '67 gram sawi', '11 gram bawang putih', '19 gram bawang merah', '2 g msg', '10 ml minyak goreng sawit']","['Potong sawi, cuci bersih kecambah sisihkan.', 'Iris duo bawang merah dan bawang putih, lalu tumis dengan minyak.', 'Masukkan sawi tumis dan bumbui hingga matang siap disajikan.']",381 kj,"5,16g","4,84g","9,38g",91 kkal,"2,085g",0g,"0,849g","2,054g",0mg,"3,6g","2,46g",606mg,200mg
Bolognese Wrap,"['Hidangan Utama', 'Makan Pagi', 'Makan Siang']",3 porsi,10 menit,25 menit,"['100 gram daging sapi giling', '3 gandum tortilla', '200 gram wortel dimasak', '2 siung bawang putih dimasak', '200 gram mentimun (kupas)', '15 g saus sambal', '3 g lada putih bubuk', '1 sdm saos tiram']","['Kupas timun dan wortel lalu iris memanjang. Rebus wortel dalam air yang mendidih selama 1 menit (jangan terlalu layu).', 'Cincang 2 siung bawang putih. Tumis hingga harum kemudian masukkan daging cincang, tambahkan saus tiram, saus sambal, garam, lada. Masak hingga daging matang.', 'Letakkan daging cincang, wortel dan timun, susun memanjang diatas tortilla kemudian gulung.', 'Panggang tortilla hingga berwarna kecoklatan. Siap disajikan.']",1011 kj,"8,41g","12,78g","29,08g",242 kkal,"2,799g",0,"0,889g","3,638g",29mg,"4,9g","4,58g",716mg,430mg
Bola Ikan Udang Wortel,"['Lauk Pauk', 'Makan Siang', 'Hidangan Utama', 'Makanan Ringan', 'Makanan Pembuka']",26 porsi,20 menit,20 menit,"['100 gram udang', '102 gram telur (utuh)', '77 gram wortel', '300 gram ikan tenggiri', '1 1/2 sendok kaldu jamur', '5 g lada putih bubuk', '34 gram bawang bombay', '15 ml saus rasa tiram']","['Kupas udang dan buang tulang di tenggiri.', 'Campur semua bahan dalam food processor dan bumbui sesuai keinginan.', 'Buat bola-bola (masing-masing sekitar 25 g).', 'Masukkan ke dalam kukusan dan masak selama 20 menit.']",126 kj,"0,9g","4,08g","1,12g",30 kkal,"0,242g",0g,"0,205g","0,25g",31mg,"0,1g","0,22g",60mg,75mg
Rebusan Ayam Saus Tiram,"['Hidangan Utama', 'Makan Siang']",1 porsi,10 menit,20 menit,"['100 gram dada ayam', '1 sejumput lada hitam', '1 siung bawang putih', '2 gram daun bawang', '1 sejumput garam laut', '1/2 sdm minyak goreng', '1 1/2 sdm kecap manis', '1 sdm saos tiram', '10 gram bawang bombay']","['Campurkan saus tiram, kecap asin, merica, dan sedikit air dalam mangkuk.', 'Potong ayam menjadi kubus dan rendam dalam saus.', 'Tumis bawang putih, daun bawang, dan bawang bombay dalam wajan dengan minyak. Aduk hingga harum.', 'Masukkan ayam yang sudah dimarinasi dengan saus dan garam. Rebus sampai daging berwarna cokelat muda.']",1377 kj,"12,76g","29,87g","21,29g",329 kkal,"4,329g",0g,"3,663g","3,508g",83mg,"0,2g","15,02g",1199mg,284mg
